1293403544981139457
1293398274209206278
1293398197218488322
1293396860003061762
1293395905870286851
1293395101675335680
1293392508093964288
1293391307193360384
1293390614688681985
1293389997333086212
1293376084025769985
1293375637340684288
1293375481086185478
1293360447475916800
1293329763294162944,"https://t.co/yIkrOabLow","https://t.co/9SMYbzwP9H"
1293325052780384257,"https://t.co/YsSBAeFBO5"
1293307156171612160
1293307049539825664
1293305931967602690
1293268754755969024
1293268035420033024
1293239767157501952
1293239596315062273
1293216570575949824
1293215637582385152
1293205822726529025
1293203355871911937
1293190719893536769,"https://t.co/RA8MX9OAAN","https://t.co/fHxP…"
1293052565140025344,"https://t.co/9CkaWvdvbu"
