1298804429546762240
1298803402521092097
1298802484127948800
1298801706839552000
1298800844616241157
1298800235167338496
1298750809287602176
1298750208050954240
1298738652332404736,"https://t.co/Swztmmen6r","https://t.co/KeRRtMbpO5"
1298711329524445185
1298710768045527040,"https://t.co/TFLirVGsqC"
1298700585118707717
1298699637189206018
1298698098433302529
1298696574307053571
1298681332625739776
1298679932856524802,"https://t.co/nYaxI9hoWe","https://t.co/HOwcAW0v0M"
1298660424305401856
1298655985591029764,"https://t.co/ib6KhvXRDT"
1298652958759038977
