1298064055924592641
1298030169534263297
1298019440106373121,"https://t.co/hdty136XZ7"
1298015443995766789,"https://t.co/ITbqGmyZyf","https://t.co/wVHllhArby"
1298011070154432512
1297996374181580800,"https://t.co/ITbqGmyZyf","https://t.co/ypjlIs8Cob"
1297980682094796801
1297969136341942272,"https://t.co/t3mAqC6qlu","https://t.co/CA1x7wEzE5"
1297959115042562048
1297946600942317568,"https://t.co/ITbqGmyZyf","https://t.co/oAji0RlPwf"
1297914095673454596
1297896609133539336,"https://t.co/ITbqGmyZyf"
1297896607288041472,"https://t.co/ITbqGmyZyf"
1297896605518004225,"https://t.co/ITbqGmyZyf"
1297896603580276737,"https://t.co/ITbqGmyZyf"
1297896600652718080,"https://t.co/0AdVrP9uFd"
1297864726324551682
