1285796706047549441,"https://t.co/Z4o6eYWxlB"
1285784340526501888
1285783267107643392
1285782447167361026
1285781522277171202
1285780525337149440
1285779894463541249
1285778765549797377
1285775473205809152
1285774609841827845
1285747484086669312
1285738365745336320
1285737687941550082
1285729497321545729
1285700098324942850,"https://t.co/yIkrOabLow","https://t.co/bldLJIyDC4"
1285642658048811011
1285640977324154886
1285628694208405505
1285628454587834369
1285628263008800768
1285625297577140224
1285613469878964224,"https://t.co/EJUL8qFUhN"
1285606689371291649
1285602386061537282
1285599483812864000
1285589999539412994
1285523232930635776
1285499218417901568
