1298650586016100352,"https://t.co/KP1VOuwUX1","https://t.co/wJzhdQGZDM"
1298645148373573634,"https://t.co/uZvxlMUL6l","https://t.co/K65yAFm15X"
1298643234361663489,"https://t.co/KkXn4X8dBD","https://t.co/Mbn5zmlmlM"
1298641806792556547,"https://t.co/ldTLv9V4QB","https://t.co/EN7uL3zv4B"
1298640132740984838,"https://t.co/JdGrMNM1wQ","https://t.co/6kucQbNCkM"
1298637626019389441,"https://t.co/LM2uZY9bO2","https://t.co/K8GK1KtlSl"
1298631180808527873,"https://t.co/F4wK00IsHk","https://t.co/ua2Ard7o1q"
1298629583542124544,"https://t.co/9Kvq3LuEeG","https://t.co/2XdfZ5lmSh"
1298627563896610818,"https://t.co/Qg0sfS33i7","https://t.co/ILbC9chZuj"
1298625304739696640,"https://t.co/Q7weH2Fsky","https://t.co/Gw2I50vjff"
1298624234315558913,"https://t.co/Q7weH2Fsky","https://t.co/KTNxKebBdH"
1298619985347186688,"https://t.co/WXFu2qpAFz","https://t.co/azP1jttWEv"
1298617459075932166,"https://t.co/ESEG1TqJ0h","https://t.co/8CaTEEREfn"
1298613485232939008,"https://t.co/su4yTlEec6","https://t.co/pqAiWAKrI6"
1298610025074692096,"https://t.co/aSdcRGvf1I","https://t.co/OoTCkBrqTa"
1298606665592438784,"https://t.co/07aqznAkhO","https://t.co/jDZhlrXwU0"
1298605487777349633,"https://t.co/qE6rZu21gO","https://t.co/4fzS7cFgVx"
1298600796574101504,"https://t.co/8InlYiIaNz","https://t.co/i4bAOk3zwG"
1298598483922948098,"https://t.co/ipJyGwp94G","https://t.co/ujYeYg9CgQ"
1298597034006646789,"https://t.co/ta3dRhqKXr","https://t.co/QK3b8PWiCP"
1298594980198584322,"https://t.co/GeKDZdRO61","https://t.co/FyzgOkJmve"
1298592566905049089,"https://t.co/U9wlRUXW1B","https://t.co/yCHjev5eNe"
1298591225222594560,"https://t.co/B11wycwYaa","https://t.co/YjDtS61vqJ"
1298583617531248642,"https://t.co/WKFzDDjVpy","https://t.co/HCkR8R4Sw0"
1298576097572016130,"https://t.co/0H3dFwFqAl","https://t.co/aPw1qkO7CX"
1298485348847296514,"https://t.co/w2Q9UrSIGC","https://t.co/71SAnMI307"
